,name,sector,sector_code,ticker
1005758,"Radioio, Inc.",Other Services (except Public Administration),81.0,IWDM
1005817,Tompkins Financial Corp,Finance and Insurance,52.0,TMP
100591,Argan Inc,Construction,23.0,AGX
1006028,"Pure Bioscience, Inc.",Manufacturing,32.0,PURE
1006045,Iridex Corp,Manufacturing,33.0,IRIX
1006177,FFD Financial Corp/Oh,Finance and Insurance,52.0,FFDF
100625,Sierra Monitor Corp /CA/,Manufacturing,33.0,SRMC
1006269,Loral Space & Communications Inc.,Manufacturing,33.0,LORL
1006281,"Protalix Biotherapeutics, Inc.",Manufacturing,32.0,OTIX
1006424,"Bear State Financial, Inc.",Finance and Insurance,52.0,FFBH
1006459,Timios National Corp,Other Services (except Public Administration),81.0,HOMS
1006655,Evolution Petroleum Corp,"Mining, Quarrying, and Oil and Gas Extraction",21.0,EPM
1006820,Northern California Bancorp Inc,Finance and Insurance,52.0,NRLB
1006830,Consumers Bancorp Inc /OH/,Finance and Insurance,52.0,CBKM
1006837,"HC2 Holdings, Inc.",Manufacturing,33.0,
1006840,"Zhongchai Machinery, Inc.",Wholesale Trade,42.0,EQPI
1006892,JDA Software Group Inc,"Professional, Scientific, and Technical Services",54.0,JDAS
1007019,Coffee Holding CO Inc,Wholesale Trade,42.0,JVA
100716,Unico American Corp,Finance and Insurance,52.0,UNAM
100726,Unifi Inc,Manufacturing,31.0,UFI
1007273,Bank OF South Carolina Corp,Finance and Insurance,52.0,BKSC
1007330,"Prgx Global, Inc.","Professional, Scientific, and Technical Services",54.0,PRGX
1007587,KVH Industries Inc \DE\,Manufacturing,33.0,KVHI
100790,Union Carbide Corp /NEW/,Manufacturing,32.0,
100826,Union Electric CO,Utilities,22.0,UEP
1008579,Highlands Bankshares Inc /VA/,Finance and Insurance,52.0,
1008586,Streamline Health Solutions Inc.,"Professional, Scientific, and Technical Services",54.0,STRM
1008654,Tupperware Brands Corp,Manufacturing,33.0,TUP
1008817,Sapient Corp,"Professional, Scientific, and Technical Services",54.0,SAPE
1008848,Acorda Therapeutics Inc,Manufacturing,32.0,ACOR
100885,Union Pacific Corp,Transportation and Warehousing,48.0,UNP
1009356,Salix Pharmaceuticals LTD,Manufacturing,32.0,SLXP
1009379,Metropolitan Health Networks Inc,Health Care and Social Assistance,62.0,MDPA
1009626,Brocade Communications Systems Inc,Manufacturing,33.0,BRCD
1009672,Carbo Ceramics Inc,Manufacturing,32.0,CRR
1009759,Capstone Turbine Corp,Manufacturing,33.0,CPST
1009829,Jakks Pacific Inc,Manufacturing,33.0,JAKK
1009891,AIR Industries Group,"Professional, Scientific, and Technical Services",54.0,ASHN
1009925,"American Fiber Green Products, Inc.",Manufacturing,32.0,
1009976,Commercial Bancshares Inc \OH\,Finance and Insurance,52.0,CMOH
101001,"United AIR Lines, Inc.",Transportation and Warehousing,48.0,
1010086,Siga Technologies Inc,Manufacturing,32.0,SIGA
1010247,Fpic Insurance Group Inc,Finance and Insurance,52.0,FPIC
1010286,Fibertower Corp,Information,51.0,FRNS
1010470,Provident Financial Holdings Inc,Finance and Insurance,52.0,PROV
1010552,Polycom Inc,Manufacturing,33.0,PLCM
1010566,China Longyi Group International Holdings LTD,Other Services (except Public Administration),81.0,MGHA
1010612,Sykes Enterprises Inc,"Professional, Scientific, and Technical Services",54.0,SYKE
101063,Chiquita Brands International Inc,"Agriculture, Forestry, Fishing and Hunting",11.0,CQB
1010858,Fairmount Santrol Holdings Inc.,"Mining, Quarrying, and Oil and Gas Extraction",21.0,
1011006,Yahoo Inc,"Professional, Scientific, and Technical Services",54.0,YHOO
1011060,Advansource Biomaterials Corp,Manufacturing,33.0,ASNB
1011064,Sunrise Senior Living Inc,Health Care and Social Assistance,62.0,SRZ
1011109,Acre Realty Investors Inc,Finance and Insurance,52.0,RPI
1011174,BRE Properties Inc /MD/,Finance and Insurance,52.0,BRE
1011290,99 Cents Only Stores LLC,Retail Trade,45.0,NDN
1011308,Footstar Inc,Manufacturing,32.0,FTS
1011395,Geospatial Corp,Other Services (except Public Administration),81.0,
1011432,Auxilio Inc,Other Services (except Public Administration),81.0,AUXO
1011452,"Medical Information Technology, Inc.",Information,51.0,
1011509,Golden Minerals CO,"Mining, Quarrying, and Oil and Gas Extraction",21.0,AUM
1011570,Knoll Inc,Manufacturing,33.0,KNL
1011657,Titanium Metals Corp,Manufacturing,33.0,TIE
1011659,Mufg Americas Holdings Corp,Finance and Insurance,52.0,UB
1011661,Ss&C Technologies Inc,Information,51.0,SSNC
1011662,Global Digital Solutions Inc,Manufacturing,32.0,
1011733,Trimol Group Inc.,Manufacturing,32.0,TMOL
1011835,"Medivation, Inc.",Manufacturing,32.0,MDVN
101199,United Fire Group Inc,Finance and Insurance,52.0,UFCS
1012019,Rush Enterprises Inc \TX\,Retail Trade,44.0,RUSH
1012100,Sealed AIR Corp/De,Manufacturing,32.0,
1012140,Onyx Pharmaceuticals Inc,Manufacturing,32.0,ONXX
1012271,Post Apartment Homes LP,Real Estate and Rental and Leasing,53.0,
1012477,Avadel Pharmaceuticals PLC,Manufacturing,32.0,FLML
1012493,Ferrellgas Partners Finance Corp,Retail Trade,45.0,
1012569,"Energy Transfer, LP",Transportation and Warehousing,48.0,ETP
1012620,Genesee & Wyoming Inc,Transportation and Warehousing,48.0,GWR
1012704,Drivetime Automotive Group Inc,Retail Trade,44.0,
1012771,FBL Financial Group Inc,Finance and Insurance,52.0,FFG
101295,United Guardian Inc,Manufacturing,32.0,UG
1013237,Factset Research Systems Inc,Information,51.0,FDS
1013238,Aradigm Corp,Manufacturing,33.0,ARDM
1013272,Norwood Financial Corp,Finance and Insurance,52.0,NWFL
1013453,"Valcom, Inc","Arts, Entertainment, and Recreation",71.0,VLCO
1013462,Ansys Inc,Information,51.0,ANSS
1013488,BJS Restaurants Inc,Accommodation and Food Services,72.0,BJRI
1013554,Park Bancorp Inc,Finance and Insurance,52.0,PFED
1013606,Endologix Inc /DE/,Manufacturing,33.0,ELGX
1013706,"Wilhelmina International, Inc.","Professional, Scientific, and Technical Services",54.0,WHLM
1013796,TIB Financial Corp.,Finance and Insurance,52.0,TIBB
101382,UMB Financial Corp,Finance and Insurance,52.0,UMBF
1013844,Colonial Realty Limited Partnership,Finance and Insurance,52.0,CRLP
1013857,Pegasystems Inc,Information,51.0,PEGA
1013871,"NRG Energy, Inc.",Utilities,22.0,NRG
1013880,Teletech Holdings Inc,Administrative and Support and Waste Management and Remediation Services,56.0,TTEC
101390,United Mortgage Trust,Finance and Insurance,52.0,
1013934,Strayer Education Inc,Educational Services,61.0,STRA
1014041,SRI Surgical Express Inc,Other Services (except Public Administration),81.0,STRC
1014052,"Digerati Technologies, Inc.",Information,51.0,ATSX
1014111,"Glassbridge Enterprises, Inc.",Manufacturing,33.0,IMN
1014473,Verisign Inc/Ca,"Professional, Scientific, and Technical Services",54.0,VRSN
1014507,"Sirona Dental Systems, Inc.",Manufacturing,33.0,SIRO
101462,United Refining CO,Manufacturing,32.0,
1014653,Profile Technologies Inc,Manufacturing,33.0,PRTK
1014669,Sterling Chemicals Inc,Manufacturing,32.0,SCHI
1014672,Caliper Life Sciences Inc,Manufacturing,33.0,CALP
1014739,"Bioscrip, Inc.",Health Care and Social Assistance,62.0,BIOS
1014763,Amarillo Biosciences Inc,Manufacturing,32.0,AMAR
1015155,Charles & Colvard LTD,Manufacturing,33.0,CTHR
1015328,Wintrust Financial Corp,Finance and Insurance,52.0,WTFC
101538,United States Antimony Corp,Manufacturing,33.0,UAMY
1015383,"Ammo, Inc.",Manufacturing,31.0,RTRO
1015593,River Valley Bancorp,Finance and Insurance,52.0,RIVR
1015739,Aware Inc /MA/,Information,51.0,AWRE
1015780,E Trade Financial Corp,Finance and Insurance,52.0,ETFC
1015789,"Proelite, Inc.","Arts, Entertainment, and Recreation",71.0,PELE
101594,US Energy Corp,"Mining, Quarrying, and Oil and Gas Extraction",21.0,USEG
1016125,Ultimate Software Group Inc,Information,51.0,ULTI
1016169,"Antares Pharma, Inc.",Manufacturing,33.0,ATRS
1016178,Carver Bancorp Inc,Finance and Insurance,52.0,CARV
1016281,Carriage Services Inc,Other Services (except Public Administration),81.0,CSV
1016470,SRS Labs Inc,Real Estate and Rental and Leasing,53.0,SRSL
1016504,Integrated Biopharma Inc,Manufacturing,32.0,INB
1016546,Altair Nanotechnologies Inc,Manufacturing,32.0,ALTI
1016708,"Renovacare, Inc.",Manufacturing,33.0,JANI
1016900,"Applied Natural GAS Fuels, Inc.","Mining, Quarrying, and Oil and Gas Extraction",21.0,AGAS
1016951,"Tumbleweed Holdings, Inc.",,,DCDC
1017110,Genethera Inc,Manufacturing,32.0,GTHA
1017290,Silver Dragon Resources Inc.,"Mining, Quarrying, and Oil and Gas Extraction",21.0,SDRG
1017303,Transact Technologies Inc,Manufacturing,33.0,TACT
1017480,Hibbett Sports Inc,Retail Trade,45.0,HIBB
1017491,"Apricus Biosciences, Inc.",Manufacturing,32.0,NEXM
1017616,"Tonner-One World Holdings, Inc.",Manufacturing,33.0,OWOO
1017655,Paid Inc,Other Services (except Public Administration),81.0,PAYD
1017673,Dover Motorsports Inc,"Arts, Entertainment, and Recreation",71.0,DVD
1017699,"China Kangtai Cactus Bio-Tech, Inc.",Manufacturing,32.0,CKGT
1017712,HOT Topic Inc /CA/,Retail Trade,44.0,HOTT
101778,Marathon OIL Corp,"Mining, Quarrying, and Oil and Gas Extraction",21.0,MRO
1017793,SUN Bancorp Inc /NJ/,Finance and Insurance,52.0,SNBC
1017907,First Acceptance Corp /DE/,Finance and Insurance,52.0,FAC
1017968,Edgewater Technology Inc/De/,Information,51.0,EDGW
1018003,Ingram Micro Inc,Retail Trade,44.0,IM
1018005,Coldwater Creek Inc,Retail Trade,44.0,CWTR
1018164,Willis Lease Finance Corp,Wholesale Trade,42.0,WLFC
101821,Canal Capital Corp,"Arts, Entertainment, and Recreation",71.0,COWP
1018215,Wells Real Estate Fund X L P,Real Estate and Rental and Leasing,53.0,
1018216,Wells Real Estate Fund XI L P,Real Estate and Rental and Leasing,53.0,
1018254,United Dominion Realty L P,Finance and Insurance,52.0,
1018281,Integral Technologies Inc,Manufacturing,33.0,ITKG
101829,United Technologies Corp /DE/,"Professional, Scientific, and Technical Services",54.0,UTX
101830,Sprint Corp,Information,51.0,S
1018332,"L-1 Identity Solutions, Inc.","Professional, Scientific, and Technical Services",54.0,VISG
1018336,Information Architects Corp,Information,51.0,IACH
1018399,Enterprise Bancorp Inc /MA/,Finance and Insurance,52.0,EBTC
1018724,Amazon COM Inc,Retail Trade,45.0,AMZN
1018840,Abercrombie & Fitch CO /DE/,Retail Trade,44.0,ANF
1018946,Steiner Leisure LTD,Other Services (except Public Administration),81.0,STNR
1018963,Allegheny Technologies Inc,Manufacturing,33.0,ATI
1018979,Amerisafe Inc,Finance and Insurance,52.0,AMSF
1019034,BIO KEY International Inc,Manufacturing,33.0,BKYI
1019216,"Newport Digital Technologies, Inc.",Retail Trade,44.0,IFDG
1019272,Empire Resources Inc /NEW/,Wholesale Trade,42.0,ERS
1019361,Rofin Sinar Technologies Inc,Manufacturing,33.0,RSTI
1019542,Atel Capital Equipment Fund VII LP,Administrative and Support and Waste Management and Remediation Services,56.0,
1019650,Centrue Financial Corp,Finance and Insurance,52.0,TRUE
1019671,Seachange International Inc,Manufacturing,33.0,SEAC
1019695,Arqule Inc,Manufacturing,32.0,ARQL
1019737,Navigant Consulting Inc,"Professional, Scientific, and Technical Services",54.0,NCI
1019787,Puradyn Filter Technologies Inc,Manufacturing,33.0,PFTI
101984,Universal Electronics Inc,Manufacturing,33.0,UEIC
1019849,"Penske Automotive Group, Inc.",Retail Trade,44.0,PAG
1020017,INX Inc,Retail Trade,44.0,INXI
1020214,Cerus Corp,Manufacturing,33.0,CERS
1020302,"Internet Infinity, Inc.",Retail Trade,45.0,
1020347,Communitycorp,Finance and Insurance,52.0,
102037,Universal Corp /VA/,Wholesale Trade,42.0,UVV
1020416,"Monster Worldwide, Inc.",Administrative and Support and Waste Management and Remediation Services,56.0,MWW
1020448,Imperial Petroleum Recovery Corp,Manufacturing,33.0,
1020475,"Grandparents.Com, Inc.",Information,51.0,PBME
1020477,"Rotate Black, Inc.",Accommodation and Food Services,72.0,BEVI
1020569,Iron Mountain Inc,Finance and Insurance,52.0,IRM
1020646,"ERF Wireless, Inc.",Manufacturing,33.0,ERWF
1020710,DXP Enterprises Inc,Wholesale Trade,42.0,DXPE
1020859,United Natural Foods Inc,Retail Trade,44.0,UNFI
102109,Universal Security Instruments Inc,Retail Trade,44.0,UUU
1021096,"M2 Ngage Group, Inc.",Information,51.0,RMLX
1021113,"Guitar Center, Inc.",Retail Trade,44.0,GTRC
1021162,Triumph Group Inc,Manufacturing,33.0,TGI
1021270,Famous Daves OF America Inc,Accommodation and Food Services,72.0,DAVE
1021282,"Clean Slate, Inc.","Professional, Scientific, and Technical Services",54.0,DRWN
1021422,"Eastern Light Capital, Inc.",Finance and Insurance,52.0,CAA
1021435,Hopto Inc.,Information,51.0,HPTO
1021561,NU Skin Enterprises Inc,Retail Trade,44.0,NUS
1021604,ON Track Innovations LTD,Manufacturing,33.0,OTIV
1021635,OGE Energy Corp.,Utilities,22.0,OGE
1021860,National Oilwell Varco Inc,Manufacturing,33.0,NOV
1021917,"JV Group, Inc.","Arts, Entertainment, and Recreation",71.0,ASPE
102198,Calmare Therapeutics Inc,Manufacturing,33.0,CTTC
1022079,Quest Diagnostics Inc,Health Care and Social Assistance,62.0,DGX
1022097,"Turbodyne Technologies, Inc",Manufacturing,33.0,TRBD
102212,Univest Corp OF Pennsylvania,Finance and Insurance,52.0,UVSP
1022225,Oplink Communications Inc,Manufacturing,33.0,OPLK
1022321,Genesis Energy LP,Retail Trade,45.0,GEL
1022344,Simon Property Group L P /DE/,Finance and Insurance,52.0,
1022368,"Schiff Nutrition International, Inc.",Wholesale Trade,42.0,WNI
1022408,Eplus Inc,Retail Trade,44.0,PLUS
1022469,Deltic Timber Corp,Manufacturing,32.0,DEL
1022505,Cipherloc Corp,Information,51.0,NSCT
1022646,Ultra Petroleum Corp,"Mining, Quarrying, and Oil and Gas Extraction",21.0,UPL
1022652,Inseego Corp.,Manufacturing,33.0,NVTL
1022671,Steel Dynamics Inc,Manufacturing,33.0,STLD
1022701,Neomedia Technologies Inc,"Professional, Scientific, and Technical Services",54.0,NEOM
1022705,Tesco Corp,Manufacturing,33.0,TESO
1022759,Cardinal Bankshares Corp,Finance and Insurance,52.0,CDBK
1022899,"Protagenic Therapeutics, Inc.\New",Other Services (except Public Administration),81.0,MILB
1023024,ANI Pharmaceuticals Inc,Manufacturing,32.0,ANIP
1023128,Lithia Motors Inc,Retail Trade,44.0,LAD
1023131,Covance Inc,"Professional, Scientific, and Technical Services",54.0,CVD
1023198,"Stemgen, Inc.",Finance and Insurance,52.0,AMAS
1023291,Energy Future Holdings Corp /TX/,Utilities,22.0,TXU
1023298,Alpha-En Corp,"Arts, Entertainment, and Recreation",71.0,PIXG
1023313,"Forrester Research, Inc.","Professional, Scientific, and Technical Services",54.0,FORR
1023362,Powerwave Technologies Inc,Manufacturing,33.0,PWAV
1023364,Autobytel Inc,Information,51.0,ABTL
1023453,AIS Futures Fund IV LP,Finance and Insurance,52.0,
1023458,AEI Income & Growth Fund Xxii LTD Partnership,Real Estate and Rental and Leasing,53.0,
1023459,Simulations Plus Inc,"Professional, Scientific, and Technical Services",54.0,SLP
1023731,8X8 Inc /DE/,Information,51.0,EGHT
1023734,"BPZ Resources, Inc.","Mining, Quarrying, and Oil and Gas Extraction",21.0,BPZI
102379,URS Corp /NEW/,"Professional, Scientific, and Technical Services",54.0,URS
1023844,National Holdings Corp,Finance and Insurance,52.0,NHLD
1023860,Stewardship Financial Corp,Finance and Insurance,52.0,SSFN
1023994,"SG Blocks, Inc.",Wholesale Trade,42.0,CSDI
1024022,Media Sciences International Inc,Manufacturing,32.0,MSII
1024048,"Panacea Global, Inc.",Health Care and Social Assistance,62.0,PANG
1024075,Power Efficiency Corp,Manufacturing,33.0,PEFF
1024126,"Pernix Therapeutics Holdings, Inc.",Manufacturing,32.0,PTX
1024305,Coty Inc.,Manufacturing,32.0,COTY
1024452,SMF Energy Corp,Wholesale Trade,42.0,FUEL
1024478,Rockwell Automation Inc,Manufacturing,33.0,ROK
1024520,World Heart Corp,Manufacturing,33.0,WHRT
1024626,"Cannabis Science, Inc.",Manufacturing,32.0,CBIS
1024628,ZAP,Manufacturing,33.0,ZP
1024657,West Corp,Other Services (except Public Administration),81.0,WSTC
1024725,Tenneco Inc,Manufacturing,33.0,TEN
1024729,Amscan Holdings Inc,Retail Trade,45.0,
1024732,Igate Corp,"Professional, Scientific, and Technical Services",54.0,IGTE
1024795,SUN Hydraulics Corp,Manufacturing,33.0,SNHY
1024920,Fuelstream Inc,Other Services (except Public Administration),81.0,FLST
1025315,24holdings Inc,,,TFHD
1025362,Golden Queen Mining CO LTD,"Mining, Quarrying, and Oil and Gas Extraction",21.0,GQM
1025378,W. P. Carey Inc.,Finance and Insurance,52.0,WPC
10254,Earthstone Energy Inc,"Mining, Quarrying, and Oil and Gas Extraction",21.0,BSIC
1025536,Taylor Capital Group Inc,Finance and Insurance,52.0,TAYC
1025771,Chase Packaging Corp,"Agriculture, Forestry, Fishing and Hunting",11.0,CPKA
1025835,Enterprise Financial Services Corp,Finance and Insurance,52.0,EFSC
1025877,DCB Financial Corp,Finance and Insurance,52.0,DCBF
102588,Sonomawest Holdings Inc,Real Estate and Rental and Leasing,53.0,SWHI
1025953,"Novation Companies, Inc.",Other Services (except Public Administration),81.0,NOVS
1025996,Kilroy Realty Corp,Finance and Insurance,52.0,KRC
1026214,Federal Home Loan Mortgage Corp,Finance and Insurance,52.0,FMCC
1026650,Eresearchtechnology Inc /DE/,"Professional, Scientific, and Technical Services",54.0,ERES
1026655,Core Molding Technologies Inc,Manufacturing,33.0,CMT
1026743,"Euramax Holdings, Inc.",Manufacturing,33.0,
1027099,RJO Global Trust,Finance and Insurance,52.0,
1027183,First South Bancorp Inc /VA/,Finance and Insurance,52.0,FSBK
1027207,Epiq Systems Inc,"Professional, Scientific, and Technical Services",54.0,EPIQ
1027235,Asia Travel Corp,Accommodation and Food Services,72.0,PNHV
102729,Valmont Industries Inc,Manufacturing,33.0,VMI
102741,Valspar Corp,Manufacturing,32.0,VAL
1027484,"Carrier Alliance Holdings, Inc.",Retail Trade,45.0,
102752,VSE Corp,"Professional, Scientific, and Technical Services",54.0,VSEC
1027838,Tactile Systems Technology Inc,Manufacturing,33.0,
1027884,Chicago Bridge & Iron CO N V,Construction,23.0,CBI
1028087,American Dental Partners Inc,Health Care and Social Assistance,62.0,ADPI
1028153,"Axion Power International, Inc.",Manufacturing,33.0,AXPW
1028215,KMG Chemicals Inc,Manufacturing,32.0,KMG
1028394,Voyager Entertainment International Inc,Manufacturing,33.0,VEII
1028536,Hyperview Ltd.,Retail Trade,44.0,
1028734,Cobiz Financial Inc,Finance and Insurance,52.0,COBZ
1028918,Pacific Premier Bancorp Inc,Finance and Insurance,52.0,PPBI
1028954,Sussex Bancorp,Finance and Insurance,52.0,SBBX
1028985,"Spectrum Brands, Inc.",Manufacturing,33.0,ROV
1029023,Syntroleum Corp,"Mining, Quarrying, and Oil and Gas Extraction",21.0,SYNM
1029125,"SUN Biopharma, Inc.",Manufacturing,32.0,
1029142,Dynavax Technologies Corp,Manufacturing,32.0,DVAX
1029199,Euronet Worldwide Inc,Finance and Insurance,52.0,EEFT
1029299,"Deltek, Inc","Professional, Scientific, and Technical Services",54.0,PROJ
1029356,"Regatta Capital Partners, Inc.","Arts, Entertainment, and Recreation",71.0,MNEG
1029454,Mobile Area Networks Inc,Manufacturing,32.0,
1029506,Ralcorp Holdings Inc /MO,Manufacturing,31.0,RAH
1029581,Modsys International LTD,"Professional, Scientific, and Technical Services",54.0,BPHX
1029630,GS Financial Corp,Finance and Insurance,52.0,GSLA
1029730,Ladenburg Thalmann Financial Services Inc.,Finance and Insurance,52.0,LTS
1029744,Sonic Foundry Inc,Manufacturing,33.0,SOFO
1029800,Urstadt Biddle Properties Inc,Finance and Insurance,52.0,UBA
1029802,China Fruits Corp,Wholesale Trade,42.0,DVFN
1029831,Hillman Companies Inc,Wholesale Trade,42.0,
1030058,Worldgate Communications Inc,Information,51.0,WGAT
1030192,NEW Jersey Mining CO,"Mining, Quarrying, and Oil and Gas Extraction",21.0,NJMC
1030206,Vascular Solutions Inc,Manufacturing,33.0,VASC
1030469,OFG Bancorp,Finance and Insurance,52.0,OFG
